,date,year,month,day,time_of_day,damage_level,damage_level_sort,flight_phase,state,airport,operator,speed,aircraft_model,bird_size,species
8921,2001-08-16,2001,8,16,Day,None,1,Landing Roll,Kentucky,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,BUSINESS,,HAWKER 800,Small,Barn swallow
8922,2001-08-16,2001,8,16,Night,None,1,Climb,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,250.0,FOKKER F100,Small,Unknown bird - small
8923,2001-08-17,2001,8,17,Dawn,None,1,Approach,Massachusetts,LOGAN INTL,AMERICAN EAGLE AIRLINES,130.0,SAAB-340,Small,Unknown bird - small
8924,2001-08-17,2001,8,17,Dawn,None,1,Approach,Ohio,CLEVELAND-HOPKINS INTL ARPT,EXPRESSJET (CONTINENTAL EXPRS),126.0,BE-1900,Small,Unknown bird - small
8925,2001-08-17,2001,8,17,Day,None,1,Approach,Illinois,CHICAGO O'HARE INTL ARPT,AMERICAN AIRLINES,170.0,MD-82,Small,Unknown bird - small
8926,2001-08-17,2001,8,17,Day,None,1,Landing Roll,Ohio,PORT COLUMBUS INTL,MESA AIRLINES,,CL-RJ100/200,Small,Mourning dove
8927,2001-08-17,2001,8,17,Day,None,1,Landing Roll,Pennsylvania,GREATER PITTSBURGH,EXPRESSJET (CONTINENTAL EXPRS),,EMB-145,Small,Unknown bird - small
8928,2001-08-17,2001,8,17,Day,None,1,Landing Roll,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN EAGLE AIRLINES,,SAAB-340,Small,Rock pigeon
8929,2001-08-17,2001,8,17,Day,None,1,Take-off run,Illinois,CHICAGO O'HARE INTL ARPT,AMERICAN AIRLINES,160.0,MD-82,Small,Unknown bird - small
8930,2001-08-17,2001,8,17,Night,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,140.0,B-52H,Small,Mourning dove
8931,2001-08-18,2001,8,18,Day,None,1,Take-off run,Oregon,PORTLAND INTL (OR),ALASKA AIRLINES,,MD-80,Medium,Unknown bird - medium
8932,2001-08-18,2001,8,18,Day,None,1,Climb,Pennsylvania,GREATER PITTSBURGH,US AIRWAYS*,175.0,FOKKER F100,Small,Unknown bird - small
8933,2001-08-18,2001,8,18,Day,None,1,Landing Roll,Illinois,CHICAGO O'HARE INTL ARPT,AMERICAN AIRLINES,135.0,FOKKER F100,Small,Unknown bird - small
8934,2001-08-19,2001,8,19,Day,None,1,Approach,Tennessee,MEMPHIS INTL,NORTHWEST AIRLINES,140.0,DC-9,Medium,American crow
8935,2001-08-19,2001,8,19,Day,None,1,Landing Roll,Texas,AUSTIN-BERGSTROM INTL,TRANS WORLD AIRLINES,,B-717-200,Medium,Unknown bird - medium
8936,2001-08-19,2001,8,19,Day,None,1,Approach,Missouri,LAMBERT-ST LOUIS INTL,TRANS WORLD AIRLINES,180.0,MD-83,Small,Unknown bird - small
8937,2001-08-20,2001,8,20,Day,None,1,Landing Roll,Oklahoma,WILL ROGERS WORLD ARPT,TRANS WORLD AIRLINES,,B-717-200,Medium,Unknown bird - medium
8938,2001-08-20,2001,8,20,Day,None,1,Landing Roll,Washington,SEATTLE-TACOMA INTL,ALASKA AIRLINES,,B-737,Small,European starling
8939,2001-08-20,2001,8,20,Day,None,1,Landing Roll,Washington,SEATTLE-TACOMA INTL,ALASKA AIRLINES,,B-737,Small,European starling
8940,2001-08-20,2001,8,20,Day,None,1,Take-off run,Texas,GEORGE BUSH INTERCONTINENTAL,UNITED AIRLINES,,B-737-500,Small,Unknown bird - small
8941,2001-08-20,2001,8,20,Night,None,1,Take-off run,DC,WASHINGTON DULLES INTL ARPT,UNITED AIRLINES,,B-777-200,Small,Mourning dove
8942,2001-08-21,2001,8,21,Dusk,None,1,Approach,Illinois,CHICAGO O'HARE INTL ARPT,AMERICAN AIRLINES,145.0,B-767-300,Medium,Unknown bird - medium
8943,2001-08-21,2001,8,21,Day,None,1,Climb,New Jersey,ATLANTIC CITY INTL,BUSINESS,,PA-28,Small,Unknown bird - small
8944,2001-08-21,2001,8,21,Day,None,1,Landing Roll,Missouri,KANSAS CITY INTL,SOUTHWEST AIRLINES,,B-737-300,Small,Eastern meadowlark
8945,2001-08-21,2001,8,21,Dusk,None,1,Approach,DC,RONALD REAGAN WASHINGTON NATL,US AIRWAYS*,135.0,A-319,Small,Unknown bird - small
8946,2001-08-21,2001,8,21,Dusk,None,1,Approach,Kentucky,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DELTA AIR LINES,,B-737-800,Small,Mourning dove
8947,2001-08-21,2001,8,21,Night,None,1,Approach,DC,RONALD REAGAN WASHINGTON NATL,AIR CANADA,156.0,CL-RJ100/200,Small,Unknown bird - small
8948,2001-08-22,2001,8,22,Dawn,None,1,Approach,New York,JOHN F KENNEDY INTL,ABX AIR,200.0,DC-9-30,Medium,Unknown bird - medium
8949,2001-08-22,2001,8,22,Dawn,None,1,Climb,Georgia,ATLANTA INTL,US AIRWAYS*,230.0,B-737-300,Medium,Unknown bird - medium
8950,2001-08-22,2001,8,22,Day,None,1,Approach,Indiana,INDIANAPOLIS INTL,COMAIR AIRLINES,140.0,CL-RJ100/200,Small,Unknown bird - small
8951,2001-08-22,2001,8,22,Day,None,1,Climb,Massachusetts,LOGAN INTL,US AIRWAYS*,,A-319,Small,Unknown bird - small
8952,2001-08-22,2001,8,22,Day,None,1,Take-off run,Florida,ORLANDO INTL,DELTA AIR LINES,140.0,MD-88,Small,Unknown bird - small
8953,2001-08-22,2001,8,22,Day,None,1,Take-off run,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,160.0,MD-82,Small,Rock pigeon
8954,2001-08-22,2001,8,22,Day,None,1,Take-off run,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN EAGLE AIRLINES,,EMB-145,Small,Rock pigeon
8955,2001-08-22,2001,8,22,Night,None,1,Approach,Minnesota,MINNEAPOLIS-ST PAUL INTL,NORTHWEST AIRLINES,150.0,DC-9-40,Small,Unknown bird - small
8956,2001-08-23,2001,8,23,Day,Substantial,4,Landing Roll,California,LOS ANGELES INTL,UNITED AIRLINES,,B-737-300,Small,Rock pigeon
8957,2001-08-23,2001,8,23,Day,None,1,Climb,Missouri,LAMBERT-ST LOUIS INTL,AMERICA WEST AIRLINES,220.0,B-737-300,Small,Unknown bird - small
8958,2001-08-23,2001,8,23,Day,None,1,Landing Roll,Illinois,CHICAGO O'HARE INTL ARPT,AMERICAN EAGLE AIRLINES,125.0,EMB-145,Small,Unknown bird - small
8959,2001-08-23,2001,8,23,Day,None,1,Take-off run,Missouri,KANSAS CITY INTL,SOUTHWEST AIRLINES,135.0,B-737-700,Small,Unknown bird - small
8961,2001-08-23,2001,8,23,Dusk,None,1,Approach,Pennsylvania,GREATER PITTSBURGH,US AIRWAYS*,130.0,A-319,Small,Unknown bird - small
8962,2001-08-24,2001,8,24,Dawn,None,1,Take-off run,New Jersey,NEWARK LIBERTY INTL ARPT,AMERICAN AIRLINES,,A-300,Small,European starling
8963,2001-08-24,2001,8,24,Day,None,1,Landing Roll,Maryland,BALTIMORE WASH INTL,PIEDMONT AIRLINES,70.0,DHC8 DASH 8,Small,American kestrel
8964,2001-08-24,2001,8,24,Day,None,1,Take-off run,Kentucky,LOUISVILLE INTL ARPT,DELTA AIR LINES,,B-727,Small,Mourning dove
8965,2001-08-24,2001,8,24,Dusk,None,1,Approach,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,,MD-82,Small,Unknown bird - small
8966,2001-08-25,2001,8,25,Day,None,1,Take-off run,DC,RONALD REAGAN WASHINGTON NATL,AMERICAN AIRLINES,80.0,FOKKER F100,Medium,Unknown bird - medium
8967,2001-08-25,2001,8,25,Night,None,1,Approach,Tennessee,MEMPHIS INTL,FEDEX EXPRESS,,B-727-200,Medium,Unknown bird - medium
8968,2001-08-25,2001,8,25,Day,None,1,Approach,Tennessee,MEMPHIS INTL,PINNACLE,130.0,SAAB-340,Small,Unknown bird - small
8969,2001-08-25,2001,8,25,Day,None,1,Descent,Pennsylvania,PHILADELPHIA INTL,US AIRWAYS*,,B-737-300,Small,Unknown bird - small
8970,2001-08-25,2001,8,25,Day,None,1,Take-off run,Florida,FORT LAUDERDALE/HOLLYWOOD INTL,US AIRWAYS*,150.0,MD-80,Small,Unknown bird - small
8971,2001-08-26,2001,8,26,Day,None,1,Approach,DC,WASHINGTON DULLES INTL ARPT,ATLANTIC COAST AIRLINES,125.0,CL-RJ100/200,Medium,Unknown bird - medium
8972,2001-08-26,2001,8,26,Dawn,None,1,Take-off run,Colorado,DENVER INTL AIRPORT,AMERICAN AIRLINES,,MD-80,Small,Unknown bird - small
8973,2001-08-26,2001,8,26,Day,None,1,Approach,Missouri,LAMBERT-ST LOUIS INTL,US AIRWAYS*,200.0,A-319,Small,Unknown bird - small
8974,2001-08-27,2001,8,27,Day,None,1,Approach,Kentucky,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,ATLANTIC COAST AIRLINES,,DORNIER 328,Medium,Unknown bird - medium
8975,2001-08-27,2001,8,27,Day,None,1,Approach,Minnesota,MINNEAPOLIS-ST PAUL INTL,AIR CANADA,175.0,FOKKER F28 MK 1000,Medium,Unknown bird - medium
8976,2001-08-27,2001,8,27,Night,None,1,Approach,New Jersey,NEWARK LIBERTY INTL ARPT,EXPRESSJET (CONTINENTAL EXPRS),210.0,EMB-145,Medium,Unknown bird - medium
